ddabaaef1c450b1	11075fc5dc59873d	3513cf84ca79ca8f	4634a5a8b7a71481	32da8ae3d28c3bd6	2123d4b154983c99	eca1f1d81258747	fcc57e14beef050	3e9abcc7b2835ade	
3e8b59d676a5d5c9	254835c7a9a77db9	72dc2c1bf17ab6b0	7dbfa2b08eda0154	208a2df7224d6a2d	6e24cb81dc5399a7	6a574502d49e1d3a	5a6e199850e62fc	73248858ff8ed16b	
9ba5c17dcc09c1e	6a5ffc504e96164b	3480c4044851af0b	41d25fd8f71e8ac8	228c7f9e4b1b3	6c343061ace33458	79e09cd6e58e967f	3e8bafe3e8ea5d3	c19f3619f56def8	
48012aa3db3c40	3f1b5099c09f1209	4f0ede1eafe70be5	26808106ca434e1c	6ba77169c02549c5	3794a7b48cd2906b	35b8210262f855a0	47e16da35e6ef574	5869132387e15203	
6b38878688c0af6e	5ae58e96b4efc6e8	7d05b4fb3a8d7004	709a6b9897a50f2e	4d7ac7f8c223496d	97b4aa55b2361f8	79f4a1a8e90651ea	287e34b0aff04d45	8de9c5cb910a5e9	
eddfcd41d6061eb	36b2b46939a2f08c	6caaee7cba50d70c	62e9111e4cddb66e	25c4d227a7d9c108	27b90480c3313849	33af58577f9830a5	589861c17509403a	3ad36f62ceb555f7	
b116486ebbc712a	67eac348e19409e3	7ee3b45257de9234	399fbd2410896934	53a4eee312a17302	13b43c368d36a6a8	1e515fd6fda9f2e8	7c832b0d3e19acf2	42e6f61c6ad67089	
18512edf84764f96	76f93d9c35c26e4	18455cdc397180ef	9c50edff33d851	4184cdc79d253562	5e18d42f020b286b	5f120330e57ada8f	3e20fc0031d5fc43	1c8f3cf455b5375a	
5369415ca9c4e1ed	5029f0e0cd0d2475	7613c0a1a473a3af	7c8d562a2ec77bcb	6956df4fe72286c5	6a1648bc54aa7638	1609e0ad241cf632	4b6f8d24ac6182d0	433300a3600c3fea	
1ec25458df91d29	5dcf836f51b804ee	33d8547715fa5fff	15a19766be113dff	1c993258a057c184	1bf4f21791360715	761acdbeba78a773	7110b9e96a01c336	5474fdfb936f25b3	
3bdd720032c63da8	6cbc893c531cd681	22a5bb58d38bf3cd	1f1122a6ef228bc9	23af2fb1084fb78a	d03ca15bf612d8a	6e08c1f9c2ca0cff	3cf80ba6c90eccd	154f02e1261f7313	
6d146659c3af6fda	4a8537a5e8325a47	5a3ca5507940378c	4e8cfe5bede24239	4d0013c076258c40	459bdce720a59a2	428a479d44efc0b7	32e7ab2e72d77e3e	3542e0ce6e5a6a41	
2c46238076155f4b	e802046147203b7	5191869a37a85bf8	1c5ba879bc35280a	266963bf360746a5	37e91b68a7e2aebf	2f0847843c234ff3	4df3a4f1f451e6d5	17dada2eee2da9b2	
79adb2fcdb0f7155	55ce5b85a0ece74f	6dddc55ce16504ef	7af7e5f63aec4f8f	7492c6fdb1ad464e	1c72814782c7cc5f	35702b63544e453e	4b3d2bba54882fd5	55e4ce74a1fea359	
1308dd87a132fc65	3f3f9ecf42356303	6f77c88222699b37	4940ed308685924	28f261400be73e16	26503b241a543fc0	3089925a1ef516c6	44d9d819b331bfbf	3e41f4a8a990b14a	
53c637410bdc5a57	38a8cb0c9e2be093	546c73b806a2e5cf	567dee511881070b	517db26fd034b5b5	47e5e8df8e86d4e8	ba4c3d672d369c2	1f2161587d178545	39d1f3212debedf2	
718559c4fc2c421	619d1baa8498705a	383d717e9045dffa	57d89c86f071b97	f88f38bccc746a6	45b6feed19600770	143b5ca9b14aee6e	4e6742e01b7572e7	30108064d4a54dbb	
12aeef26edc7022e	316f6a44aeb8080	1ef1435666225f41	2fe6d9bff33c7b74	40f7ad63f9d8fb63	6948d12d19f6009d	2d2204f9bf6f23a0	21ce8c64940f6b95	6882f59bf2456d65	
2a571a09dd735faa	10b92b0a1fc6ec4c	43a04bfc29db5a38	57d780fa265774be	15ac52a307a425db	4e99f9803de96f07	9dcb36d8dfb7e1f	2a10444201fe95a9	dda8aa585aaf918	
2670a87128f200f3	504d3bc25f4d8c2c	6e58f04541804b4b	38ed58a9c54987e3	4bf1536ab55e2563	30340b4134459502	3e0e4552e70e5104	13c5b0892e44e58	1f3454ea95315349	
1cf6e45212cca841	3bfa27162460eec4	325a14b236a398a8	15fe10fbe1c443b8	1139d7abd4efafb5	5f43b27726140d52	44ca5e306f7c36d4	45d6e7c3a1ea499a	1a2bbb9a016d80b2	
61a0daa2ca783b2c	566aeac8acd9cdf7	2fc044b37bd63351	7da12777aa60278c	3d964f74c37c3c89	4fb45624eca59549	2795bdd23ec5bbcf	5897a770fbc1db2	14d4ced9722c6957	
2c428733808fe0f	6b3fd6733f86820e	1a7f57c9a2b3b409	65ef0798c10754bc	28f6db971851cc49	49679f13f710ccea	5837d2c9d028a26b	fe015441f96306d	704d39ffe06e7c0d	
2e70b3c058e386d7	44d6dd0993c326ea	1f9af6e7747bc28c	7e891bf31234841c	17f926c96f338fe4	d792b04370e0468	7c4df96aeba19ce5	8136f7867e4f08b	5f4ed91a07dfb405	
797d43838a0310fe	57639168de542fdf	6d99b56bd34ff1ee	74108f1f9f094f44	28c098e7cd981746	44d6cc8500572d4f	45d82879224097eb	cad96a2c86d0eff	392acbe12efe03c1	
46389d6f5cdde93c	67609baa5c1a88b4	7f2c5a335908b9c6	7d96894efe0ded64	619b3287e49e4dc3	3da2d52ad3619931	71b408a773509457	2f8786d5e4bb836e	75dc0c3f86776d2e	
42679686347561e	4d5fdbab8a18ed23	57f7276e51c27da9	7f2753cc68236378	1f91bfdda5dfe4e	13976dded252ba44	38cdc41e5f74bfd6	290993c601fd7584	6efea39680aa293c	
7c488c2d3d8fee17	54353efbd08df1fa	5d3c4b519f6c6bab	5374475d3f351c3e	6379b2f0fbf46e20	776affbabe999e09	419ae4c7309af3b	31b48acfaa293964	780aadaa12b8bb19	
6accce5cd481f980	740e4aa6bea5de6b	310e54d8782cfc41	d70576b26ccfc5a	44e7a43f52a335b9	cc1df4510ad07ea	3e1d78fda5a5858a	25d9b642b98c1ea	6afccfd54f1a9b3a	
76592b53c348a65c	3e4673332bef28ac	5e934e33c32e3264	26f58679b74b5eca	da9c854b9ac6483	65ab1a5df7fd31c	6443e1ea7d49d9f5	7ffee9ed6b0fa4e7	4fbd5127e4138885	
3e192a4f0005b168	15595d24e3ee77a8	bd0dc5762545246	9714a97b4e91e30	2d8a68124189eb65	61a255b660269bf7	1feaacb7806b1d7	344ec7ad8d18a719	6bfd6d749a2252d1	
315510d7edd6ea37	2d152237f6bd5405	2204dad2e22c59c7	7746c9f07d58517d	529c58114280ae4e	3eb7cc0f9233572b	1584002a178fa038	2337f1d949aed238	2317aa4767dcfcb9	
2299b0f23c8b305a	7e8b2b8b1fdc8099	5f1cb7fba08c56bb	34095596a7606bea	4a34e27f8e3dbeb3	3ee6cc0d7091df4b	1d625db97650cdc8	3f6c7b649e25e910	1e4e0cd9dc136d4b	
776ff95725d43b12	6078f82103d7bcd4	771ce969cf6eeaa5	3b636bff216eaadd	5e0f2b7e1eab90a4	5e7d1183c45eec09	20219946c4022ff6	42d2b668126c1816	36bd1af5c7d733f8	
60014eeacbc18e0f	313d83124c575998	2d691df3f59fa0f0	12112d6caa1d754f	6efe77fe54d35d68	1662c966abdb8616	5d2bdb999b28207b	3f631dff4308a1f5	460977f3b69d3b43	
236968137cd8ce0d	28907e480b0a1f14	3174aa881e2fd448	1e39fe81a49b3219	2cf946d028a4eb29	4210c5441f67cc47	71d36066515dd360	22e4c58c2cc5cb66	c0590264d0e4974	
672e75a4459690ef	12bfc9d2285b6a4e	23273e74b9910215	3efe7df771dbe833	35194d25ffd08f35	455c3768e92e44ea	6c87f040b6c86e6d	bbf502eccbba171	43495f629ccd0eb6	
4674399cbbd60d1	1061069fe3584c97	5d2b28b6be797e46	12d271b0a6b505ad	59dd53979bd8c7e5	44e61cd2cb8727d3	7f4a830b06225995	25bc23b07a392f5	1c2e2d427d8de49a	
499f4f8878eae11a	516868d82856813e	56335084633333ef	50fc1ab5c0292792	1345e6682af4d528	3eaab7e763078b41	6bcf821c03c1c891	563ebe0e26ac476e	ae7cdb11c18d811	
3b82c373358d7532	56af0800f75b3958	37d0b1b4e838ca89	481dd7597edda0a6	3617b0007f42b67	62792dded11d11ca	271ae6e870f72a28	7f5859759d9c5451	3252686f87639f49	
1fe857ee5de4a57b	764f94f13662e585	67a25f211731c0e	59500743810e31da	60abc939db8e5022	1478f989ff1c6888	374a89f6caaf81e	7d4f8616a4f5cc1c	701bfd2f741ec192	
1fcf31513e57d756	7e83dda82ae20b27	1f38fab5ba67e541	4ab4fd07f59d3584	603e9ab25447bbaa	1215523b213aee3	2e064f829e8657c9	2d92cbe2fb443fe9	2f1a227818447478	
558035804d20df24	7f7ee4a63ec1731d	2895997a3e02231	7435cbcf001c74a5	30c97641ff4484f0	f843ef927ccc777	6fb8ba89c6925669	12ea687c4172492b	46942d7b2fa4538	
6d0fbd374942b266	6a641ad3c67458de	442002fa338b3d3f	24a07123303e448d	77222d30c3add6d6	6883e0c87179aa89	302d676cdd47e16c	2415139d0551f4e	7d9bf45432f72003	
22f64a1f399d85ee	5ebafcc0a30d8993	eebf03f773d6c9a	507e48fa56313205	2d668f59a1f13244	5eba3b94d2655349	2ff38d4147f059dd	1fe435c039420bd3	70f8f83799c194d4	
12112e3749a8c0bb	288e19d487c853ac	397548dd7600369c	4c547458dafc47eb	3fb22749019a217b	37752b560a6d78d0	420204382c3318af	2f5f86d611850c65	19e98ea9f3236311	
7845e0b669ea0b3a	6d3ef1ee1a17ea33	7b4c6c583cb9e87e	65324af3f4340d13	7be783b09e8b1375	4e574c73a9e14124	70f301f8c45cd6fa	48d742ec5aa4f43d	e9854b15258463f	
5946bb8670d1cc63	711ba84903e273ce	7f1959f31dadcdd7	3e035102048c4cc9	74fdd4240dfdabaa	9afc194bd6f4950	78e2398b2a0fa151	81c7cc7e6fabdc	2fb77e3bc4f04596	
55a5560108b9b339	5efe8fe7d7ddb7dc	4492089e00b987e8	f7c00b751a2fd27	1fbed7c43743577a	1fdd945adb897767	cfff0401a0f8673	6f79b20442be4ff4	6fd9c9cb64cc0a7	
67376899be35dfe5	947d02e6e86cc4b	180b010938b536b0	31697ef33f271515	7a02345ab257d2b8	207615cf3ebfe5fd	112843e0f4442484	15b0e72de7342c66	649436c0c0bfd90b	
41f4e5e910d84b86	4b86cfec8367a820	7674330cc2adb1ec	15868a0546b6458d	77da5329a1f9899d	67fec2aeb898d24	6fc7cbba1b878ac9	658803007a2bb87c	68c45131e1c313fe	
fa96557793669c5	3d723f84067c6b19	50afff7d70be849c	14c9910ee0439ff7	281be398e35a5ca5	8eaa16e63d134a8	3ea1aed84edd7cae	4bdac3a51d07f47b	64561f3de2806014	
53b001e8d6fdc4b6	2df3c2a9b8aa2354	6091e350feb24e5b	788e828b3e4a0ef9	65bb2d18d45abfb8	37ab830ac27eddc5	2eaa00149b4061df	7699283052e4599e	405f81a436857278	
37f7fa7086458b25	27d6b52745b5c99e	112b3af5036141de	4c803b3a9fe37dd5	791001885f30c6cc	6325a4a523e607ab	500b3cee0044e435	5e8c430627cd20a7	1c234d0d09a65209	
5764dbe0bfab581e	2ea14882cfbdc12a	705f66fecb2082a9	67e27c71594fbab5	168beca0ab56967d	485d9ca8bddef16	4e4885c78e61a4d6	2973b5163ae8b714	6c9e5e64937b89de	
754bc15ed644ff4f	1cb8400942fc86f4	1d243b6097c53310	6660052a3cc02e8	57a8e1646e82d223	3654ac66ee001958	4310c8eb62af13c7	f5198723e9a6b75	288374925a27e74b	
648ef721c0f2f1c4	c9b3339e361909a	4d517a7264c2954c	1f150389850d7d28	2a13deba48e2e5ba	249d5bb86bf66cfe	77edfafa9a2de3b1	4f1dbde79e9ecc40	3fb7896b6863d14e	
44807c9df7526c87	2baef07d8be3a8e6	221bbb4bbcf69fa9	698d10f361e7d8ea	4696f9bace704c5	207badf1e6c4929a	25491bf5475a593e	11fde3ed82006e80	73eb8cef331ceda1	
3265fccc7c9c0ed0	4124164f1b49547c	6c101d1bfe00e44a	5882e71c529843dc	30c7e886131b0eb8	27d735df4543c152	19a1769f8a13367d	59bd2eedc3b3942d	534accc24d1c20e	
6544147515d10fb	2c0eb7e1aaa7bd3	6bc67307e6546955	2353ed877281f6f9	775bc0458d52ab5d	2827a4e8af40c873	5fcd08271697fcd2	2eb69ecaaebb3325	38b53755f2a7c4b3	
65c79c4a70588a3	70428676321b6790	40121d32d2501982	61233396c97aab65	188694513cedcc7	21ba1355bcfa9ca8	1666c723d941a23e	7b93a39fe2ddbc45	682118ebd2aa740a	
1e3d1e37be2012a4	75f452f3abd84105	35260febd1e22bee	60dffc45f021ed9e	7e24b6ae90af1814	5bceaa841ee1b7b9	6489807dd32a0ecc	185b825f135dcd1a	bd3e4dad574db3b	
295620ba97d5f3b7	1f80d4a2e9e48bd2	2875b4d3f917ef08	4a0a6a20aca547ef	4549e4cfaf510523	3cf4c4c55454467d	4b15762e16309a12	332c1d92685c3dcb	5e0412eae7fc5447	
2bd04c246e50ce07	2a6c4f7287200f46	2e7088f2cc9d3451	130f5619fe2e51a4	55cca742f3da4582	2e569c6e0e333a5a	6f4ce39772ab2ae3	34d92652688edd35	334779fe153ff2d7	
5c6a5d3eaa2f8e42	4460ac975b3bd13f	13a6da55921675c5	6c70ae5733c9b268	6b7a2e36bb3f5cc9	5cce128f451b13ee	7ed75e0a6a0963ed	2d8b6534c6a44844	67699c8aa844321c	
1166ec74bf2da38c	3b3addab1f5a3fd0	43e9f01c64d24a8f	665a9843c9ee8a63	55451f59fb469128	264868e857b099e8	160f86d3638d893f	254ee87d27dabfe7	33a8c8c60b49b81d	
6d557e6fe4bee83d	18ac54d52529c93e	70c827febec945f8	dc0847437b8e081	16ee684990689f9e	1461669dc15f3784	4d78b757de6ce6a4	746ac528d1fc3387	26864605bec1c371	
46b38090c64a791f	1362ebc10f42504	4ad458063cc4e9e	706cf63ad82f5b93	3afc645cd87b0677	1577f0322efad1fc	277826e5d966f9a8	53bd64b65a74bc29	2b4ae8864f911c74	
4a65adc96d504c21	36b98b24f7f8ef49	5d1fdb1a34617c10	69d6c6e4966b0cde	40009ee05599a4f9	1fd2b37f2371a061	5697f76603f55783	667ef0d3a25237eb	60da0f01682fc2b2	
8e3413153b6d670	5e939400c1fcfc58	739994d4a239f86e	735b127db6fae643	1f37c9b1fc20f3bd	604d50f58a1cdf5d	5a95a62d1d313a61	71615b8b4fde91e	68b6f6931efa9067	
61b2fd2a652bbd72	734ae625eb22a403	53e92e596ab96708	3e1e0c3ce0f1d5b6	2d805583dcc837b3	73db3841aef70091	65da1d0acd135b34	6e0e77c6f2e9bc9	5119a07dcb75fa81	
181a5e96089c8b2a	22ab5a34db24143c	3776da8e9948db54	6452690099d297d5	624b507f25298a5c	3613f634d1cff5df	12116138b00eb203	18c895a335e4a670	34c34416ba3c6515	
258145fbee9d2cc3	1e1d5e4d65b6e9b8	5f81d6d79469b5e9	77c608423e1272b4	448795a6cbfffb6a	216741b8c839bcac	245736e04c5a451	1dd25176a45d322e	3dd11fb4bcb0c67d	
12424224d967b3a3	2c17b384db8261	72b916395284d725	5fdb6f28ae5e83ac	77a89f7a32675cf6	590eb922683231fc	406740561fde4b24	6103357f39ec42f8	5b68b547062b87dd	
396174480440d9ac	557a096b6c65887f	3ec1a93e06aeb723	404b5156891858d5	52094cde359100bd	6984ea8128e73d1c	6e1ea58926c293c9	742acd2ffa998b9e	5ee79b55d6f72053	
6809ff5ef56fa1c5	37a1c5326197b816	5f8b0eaf6442cc4f	2c5f6d1c0baf5b19	678941e0dfb98a10	537422215d40075e	1d26eb7df3535cb6	7ce5657f1d8a9670	26788fc6d91f5bc7	
5492f7fb899929c0	26b04e4da111887f	1192f4845b18290a	1bb7d51f9c4698fb	29709114adfbc382	2f92380e8f60b979	5a94dd1b9e219b3a	2eaf9ebbafed049c	39038faf913a7aa4	
74f7a1b700cf506a	74b76ab8fa1a71f6	49af674857ed887c	1a3ed8cdfb4466a6	458b0836a0fba880	46c26cc016c3c6ad	f79c243e8df0cbe	1432692b57d5b0ab	75705be090c74c27	
25dc702187ffdac1	ca542d029457add	21117a2c3a5261b5	3d04bdb66fc9ceff	30be6b1d76c24144	17941535d141adb1	36a44107595a6e3	274589874b3c91c0	7e42a872498b47da	
5347efb22b62d062	2411d6948b65ae87	29862fd39b1c4c8f	36c6e01e924e214a	21ec7c4e95d23893	8b7dbb512c50c53	1e44f681ac9c71e9	58552bc2f7b02ff0	3adb3814be47b755	
1a1d3771be967813	39727a378af55494	66965e43d8942e84	e55edf37af0d8e6	1aed39cfe2f83a3f	52e6f045d0d3887d	293d15da40ecfb5f	44fadcdbb990da77	6c8e288c38b2b6a1	
52f2c4fd70dee944	7af6e502f2859b10	6719b4e073c2c49a	1dda4afa1ef8731c	4c5548e71dcb4e4e	136ed088b848bbb8	117ddfa32ff773dd	62c090ce5e0811a9	1c26fb38d97772be	
6b194ac200764fee	4c5edb830247e447	28ec812f4618ce55	4a2f4b44e4068648	68b4d0e7e017ce97	576575d443ffc906	75a08660b93b03e	663bab9ef991b112	5ca4e8ae05b05b22	
b0d2ea274ee02cd	5b9383f820ab5941	16cc0b917c826794	17d9a03cd55b723a	43382eac1682f282	9a21524561c90bd	757191ed5a2a5562	48fe327e5cbb0377	14255140e3cef9b2	
6d31d708cdb47a6b	79b17b6e06c6b027	16363576c172ebfb	588c04a7b8a7298f	40993c33063de351	2a89cd6acef185e3	1dc76b8a8c75550f	1f0cea232295ca99	56562446dfb60cae	
3a1eb42f679dafce	37135ca0d8cfe447	41b404ed85897ff2	2f47b0bebaec12d	4385f562e9a16f27	2cb2067a6c2406a9	304ce39e5e7f626	55d6b223e209827e	320d9fddf20d4609	
31ef3fb64b6a0105	37c1b6f0658e8269	7d5a5280c8dd0a4c	19a6a937d485f17e	3f5d32c301545d93	42cb52b676b00c30	3591a814f01ca198	12e7dc5f8f29c0b3	6dcc0c4e5519e75e	
192ae127a419f6e1	177f549367cb2662	1ee9f73b83bce6be	79e90ed23e46152f	7db0d54693553de2	209be6243bfcb46b	36027987608cba52	10b60ca47e18a6a	dbb076e7ec69c78	
4c8dde465afcc4d4	349e5d51a3d5f97d	40bb9783535f901c	741016b4ae5da749	49ada65d4365c7c9	329b949240994ceb	7ef1c2a18eb89d59	7551b0bbfa0f6b4f	32e843c759e6a74e	
3c626fc86350c2d3	3d92a10d161d2790	13c1206b859f34	286814cef233d330	14da0f484e133542	55a2180b4ae96136	3fff1a880ab21f29	359bdcfbc22f63f2	1d3f39ba0f7a78ef	
3fec56016f4f6882	3a399bf4423bb4f0	3eeff98a001d5143	3d52f4adf699f511	3eab69d3581006e8	5645c42b7ff6f462	2c8d29ebffa21687	7b184fe2122d7e7e	221bd993ba8f0f70	
8aa72c888d5706	5ef49501706164c8	5df55057dbbcd1f9	7c30cf197276b692	28b0b551fc587a73	64ca39aa6faf7e5b	4bc970aef301ab9a	6afc9368810a9d55	3e3dfd1aa4b980bf	
7971cf4df8e2fd0c	6e46dc4e8bdc950f	12cd21440e997264	1f835119e9e790e6	2fba2eb467142723	247f5d647cc41726	f3ac44dee2ea869	22b71b5c65549d34	7b59de1b236f27a7	
5c6f63755b0bd6eb	69a2b069e6489ef1	7c927bb06b9890ca	6c8e83ccb05e7d32	3a06fd3612470079	3c2bdb917c333eab	2a8fb00d8f85dcf7	39980fa15882270a	690f3fc1181028ea	
7515194482ed3f0	3883d5aa768f7ef	1de1ba0210b42579	24dc1566a6fd47f7	11efbe179dedcebe	718391ccd0e6999d	65a02e05b5b4f77	6e851f341bbd03a7	62f0716ec841abaf	
381da1d42bbc687e	1e8174a9a36e298b	41d030cedca55346	76424cbd7d0c2f2d	316498607edc6981	605d7a493125e0f6	fed5bd9629d2eb9	74f6c0e4ed30f9f6	7d9c1dd99eddb98c	
516fb245659169f	6585b894f4e3684a	759b8597ad421e8e	726c53b26de40c55	1c8163d9a8aa41bc	39c16509f271cc6e	407f9378cc016f1f	126c95587fc034a4	4b4840d4fa6b08ce	
1f5c470c27b76f3d	6234b46245e5ff0c	4093c7098cf200f9	1b599276cde8afa	440414c2593a78a	1e3757d5431c598b	69b893896082c6b8	31a32ddddf72fe21	7a4d7bb27b080dcf	
3bf50ee6bc578fcd	435ce12551050ee7	6c4d0ad3461e7753	557360a588768c70	11745d2435a088e8	5f4fc3519e41184b	3e723b6dc535605b	1945fa57730e134a	881a7732a696aa7	
4b2f3d190d583c36	37d50d3ff096c4f4	d9dabeebe5f4738	59cbc06e76aa6dd	55097dd1cc373ee	5e38d891aca5545a	37bedd0f05b5de8	722c6d41992db9b	4974a4df90d6c47c	
37d18bd44a104da9	79ffc9fcd5b2b692	591ffb976a262e2d	6e0209e27345750c	3d762f0937918778	de6899ea0e4fe0a	6d98008e7cb54be3	5df3fec4a673379e	78eeda5e4e800b50	
